ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price,type_of_engine,engine_capacity,normalised_mileage,normalised_engine_capacity,normalised_num_of_doors,normalised_seating_capacity,normalised_fuel_consumption,normalised_price
4500822,domestic assembly,used car,sedan,30000,black,colorful,4,5,6,automatic,fwd - front-wheel drive,6.0,kia,cerato,2019.0,Kia Cerato 2.0 AT Premium 2019 car,23279.40407,petrol,2.0,0.15,0.5,0.33,0.21,0.38,0.57
4502425,imported,new car,suv,0,silver,gray,5,7,,automatic,rfd - rear-wheel drive,7.0,ford,everest,2023.0,Ford Everest Ambiente 2.0L 4x2 AT 2023,3198.387689,diesel,2.0,0.0,0.5,0.67,0.36,0.5,0.08
4504081,imported,used car,sedan,60000,take note,gray,4,5,,manual,fwd - front-wheel drive,7.0,daewoo,lacetti,2011.0,Daewoo Lacetti SE 2011,10121.48003,petrol,1.6,0.3,0.33,0.33,0.21,0.5,0.25
4504164,imported,used car,4x4,50000,red,black,4,5, electronic injector,manual,4wd - four-wheel drive (4wd),7.0,ford,ranger,2020.0,Ford Ranger XL 2.2L 4x4 MT 2020,22469.68566,diesel,2.2,0.25,0.58,0.33,0.21,0.5,0.55
4505185,imported,used car,sedan,58000,black,cream,4,5,turbo,automatic,fwd - front-wheel drive,10.0,audi,a6,2013.0,Audi A6 2.0T 2013,28340.14408,petrol,2.0,0.29,0.5,0.33,0.21,0.88,0.7
4505515,imported,new car,suv,0,white,black,5,7,"turbocharged, direct fuel injection",automatic,awd - 4-wheel drive (awd),7.0,volkswagen,tiguan,2022.0,Volkswagen Tiguan Luxury S 2022,40485.92011,petrol,2.0,0.0,0.5,0.67,0.36,0.5,1.0
4505539,imported,new car,suv,0,white,black,5,7,"turbocharged, direct fuel injection",automatic,awd - 4-wheel drive (awd),7.0,volkswagen,tiguan,2022.0,Volkswagen Tiguan Elegance 2022,40485.92011,petrol,2.0,0.0,0.5,0.67,0.36,0.5,1.0
4505630,domestic assembly,used car,sedan,90000,grey,black,4,5,,automatic,rfd - rear-wheel drive,8.0,mercedes benz,e class,2009.0,Mercedes Benz E class E250 2009,17004.08645,petrol,1.8,0.45,0.42,0.33,0.21,0.62,0.42
4505968,domestic assembly,used car,sedan,101010,black,colorful,4,5,fuel injection,automatic,fwd - front-wheel drive,7.0,hyundai,avante,2010.0,Hyundai Avante 2.0 AT 2010,13157.92403,petrol,2.0,0.51,0.5,0.33,0.21,0.5,0.32
4505988,imported,used car,4x4,49000,red,cream,4,5,electronic injector,automatic,4wd - four-wheel drive (4wd),6.0,chevrolet,colorado,2017.0,Chevrolet Colorado LTZ 2.8L 4x4 AT 2017,22996.00262,diesel,2.8,0.25,0.83,0.33,0.21,0.38,0.57
4506086,imported,new car,hatchback,0,white,black,5,5,electronic fuel injection,automatic,fwd - front-wheel drive,6.0,volkswagen,polo,2022.0,Volkswagen Polo 1.6 AT 2022,25303.70007,petrol,1.6,0.0,0.33,0.67,0.21,0.38,0.62
4506334,imported,new car,crossover,0,green,black,5,5,"turbocharged, direct fuel injection",automatic,fwd - front-wheel drive,5.0,volkswagen,t-cross,2022.0,Volkswagen T-Cross Elegance 1.0 AT 2022,40485.92011,petrol,1.0,0.0,0.08,0.67,0.21,0.25,1.0
4507131,domestic assembly,used car,sedan,60000,silver,black,4,5,,manual,fwd - front-wheel drive,7.0,chevrolet,cruze,2011.0,Chevrolet Cruze LS 1.6 MT 2011,9919.050427,petrol,1.6,0.3,0.33,0.33,0.21,0.5,0.24
4508121,imported,used car,4x4,46000,grey,black,4,5,,automatic,4wd - four-wheel drive (4wd),7.0,ford,ranger,2018.0,Ford Ranger Wildtrak 2.0L 4x4 AT 2018,30364.44008,diesel,2.0,0.23,0.5,0.33,0.21,0.5,0.75
4509117,imported,used car,hatchback,105000,white,brown,5,5,1.0 at,automatic,fwd - front-wheel drive,6.0,suzuki,alto,2009.0,Suzuki Alto 1.0 AT 2009 car,8299.61362,petrol,1.0,0.53,0.08,0.67,0.21,0.38,0.2
4511573,domestic assembly,used car,sedan,55000,silver,cream,4,5,ssi,automatic,fwd - front-wheel drive,8.0,toyota,camry,2014.0,Toyota Camry 2.0E 2014,22469.68566,petrol,2.0,0.28,0.5,0.33,0.21,0.62,0.55
4511926,imported,used car,sedan,45368,red,black,4,5,fi,automatic,fwd - front-wheel drive,6.0,honda,civic,2018.0,Honda Civic 1.5L Vtec Turbo 2018,27530.42567,petrol,1.5,0.23,0.29,0.33,0.21,0.38,0.68
4513153,imported,new car,suv,0,orange,black,5,7,electronic injector combined with turbocharger,automatic,rfd - rear-wheel drive,8.0,ford,everest,2023.0,Ford Everest Titanium 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.62,1.0
4513176,imported,new car,suv,0,brown,black,5,7,electronic injector combined with turbocharger,automatic,4wd - four-wheel drive (4wd),8.0,ford,everest,2023.0,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.62,1.0
4513622,domestic assembly,used car,sedan,105000,pink,cream,4,5,2.4g,automatic,fwd - front-wheel drive,9.0,toyota,camry,2007.0,Toyota Camry 2.4G 2007,14777.36084,petrol,2.4,0.53,0.67,0.33,0.21,0.75,0.36
4513946,imported,new car,suv,0,silver,black,5,7,,automatic,rfd - rear-wheel drive,7.0,ford,everest,2023.0,Ford Everest Ambiente 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.5,1.0
4514098,imported,new car,suv,0,red,black,5,7,,automatic,rfd - rear-wheel drive,7.0,ford,everest,2023.0,Ford Everest Titanium 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.5,1.0
4514209,domestic assembly,new car,sedan,0,black,cream,4,5,electronic gasoline,automatic,fwd - front-wheel drive,7.0,toyota,vios,2023.0,Toyota Vios E CVT 2023,20202.47413,petrol,1.5,0.0,0.29,0.33,0.21,0.5,0.5
4514222,domestic assembly,new car,sedan,0,white,black,4,5,electronic gasoline,manual,fwd - front-wheel drive,7.0,toyota,vios,2022.0,Toyota Vios E 1.5 MT 2022,18097.20629,petrol,1.5,0.0,0.29,0.33,0.21,0.5,0.45
4514578,domestic assembly,used car,suv,31000,silver,brown,5,7,,automatic,4wd - four-wheel drive (4wd),8.0,hyundai,santafe,2017.0,Hyundai SantaFe 2.4L 4WD 2017,33198.45449,petrol,2.4,0.16,0.67,0.67,0.36,0.62,0.82
4514670,imported,used car,suv,9000,silver,black,5,7,,automatic,rfd - rear-wheel drive,7.0,nissan,terra,2018.0,Nissan Terra E 2.5 AT 2WD 2018,30769.29929,petrol,2.5,0.05,0.71,0.67,0.36,0.5,0.76
4515230,imported,used car,suv,40000,green,brown,5,5,l,automatic,awd - 4-wheel drive (awd),8.0,porsche,macan,2015.0,Porsche Macan 2.0 2015,40485.92011,petrol,2.0,0.2,0.5,0.67,0.21,0.62,1.0
4515324,imported,new car,suv,0,white,brown,5,7,dual turbo,automatic,4wd - four-wheel drive (4wd),7.0,ford,everest,2023.0,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.5,1.0
4515386,domestic assembly,used car,sedan,68000,red,yellow,4,5,,automatic,fwd - front-wheel drive,7.0,hyundai,elantra,2019.0,Hyundai Elantra 1.6 AT 2019,21659.96726,petrol,1.6,0.34,0.33,0.33,0.21,0.5,0.53
4515591,imported,new car,suv,0,grey,black,5,7,electronic,automatic,rfd - rear-wheel drive,7.0,ford,everest,2023.0,Ford Everest Ambiente 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.5,1.0
4515696,imported,new car,suv,0,grey,black,5,7,diesel,automatic,rfd - rear-wheel drive,7.0,ford,everest,2023.0,Ford Everest Sport 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.5,1.0
4515757,imported,new car,suv,0,brown,black,5,7,,automatic,4wd - four-wheel drive (4wd),7.0,ford,everest,2023.0,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.5,1.0
4515868,domestic assembly,new car,sedan,0,red,black,4,5,,automatic,rfd - rear-wheel drive,6.0,vinfast,lux a 2.0,2022.0,VinFast Lux A 2.0 Standard 2022 car,27530.42567,petrol,2.0,0.0,0.5,0.33,0.21,0.38,0.68
